AF_LR_MTBI_id,AF_LR_MTBI_name,AF_LR_MTBI_start_time,AF_LR_MTBI_org,AF_LR_MTBI_reason,consecutive
600380.SH,健康元,2015,中国证券监督管理委员会,因“健康元”异常交易案,0
600382.SH,ST广珠,2022,中国证券监督管理委员会,涉嫌信息披露违法违规,0
600385.SH,退市金泰(退市),2003,中国证券监督管理委员会沈阳稽查局,涉嫌违反证券法规,0
600387.SH,ST海越,2021,中国证券监督管理委员会,涉嫌信息披露违法违规,0
600421.SH,华嵘控股,2007,中国证券监督管理委员会武汉稽查局,涉嫌违反证券法及相关法规,0
600463.SH,空港股份,2022,中国证券监督管理委员会,涉嫌信息披露违法违规,0
600490.SH,鹏欣资源,2021,中国证券监督管理委员会上海监管局,涉嫌信息披露违法违规,0
600515.SH,*ST基础,2021,中国证券监督管理委员会,涉嫌信息披露违法违规,0
600556.SH,天下秀,2016,中国证券监督管理委员会,监管需要,0
600556.SH,天下秀,2017,中国证券监督管理委员会,涉嫌未按规定披露信息,1
600576.SH,祥源文化,2017,中国证券监督管理委员会,涉嫌违反证券法律法规,0
600609.SH,金杯汽车,2020,中国证券监督管理委员会,涉嫌信息披露违法违规,0
600610.SH,中毅达,2006,中国证券监督管理委员会,涉嫌违反证券法规,0
600610.SH,中毅达,2018,中国证券监督管理委员会,涉嫌信息披露违法违规,0
600610.SH,中毅达,2018,中国证券监督管理委员会,涉嫌信息披露违法违规,0
600614.SH,退市鹏起(退市),2020,中国证券监督管理委员会,涉嫌信息披露违法违规,0
600615.SH,丰华股份,2004,中国证券监督管理委员会,涉嫌违反证券法,0
600629.SH,华建集团,2006,中国证券监督管理委员会,涉嫌违反证券法律法规,0
600634.SH,退市富控(退市),2020,中国证券监督管理委员会,涉嫌信息披露违法违规,0
600645.SH,中源协和,2006,中国证券监督管理委员会上海稽查局,涉嫌违反证券法规,0
600645.SH,中源协和,2007,中国证券监督管理委员会上海稽查局,涉嫌违反证券法规,1
600656.SH,退市博元(退市),2006,中国证券监督管理委员会,涉嫌违反证券法规,0
600656.SH,退市博元(退市),2012,中国证券监督管理委员会,涉嫌违反证券法律法规,0
600656.SH,退市博元(退市),2021,中国证券监督管理委员会,涉嫌违法违规行为,0
600659.SH,*ST花雕(退市),2005,中国证券监督管理委员会,涉嫌违反证券法律法规,0
600677.SH,*ST航通(退市),2010,中国证券监督管理委员会,涉嫌违反证券法律法规,0
600677.SH,*ST航通(退市),2019,中国证券监督管理委员会,涉嫌信息披露违法违规,0
600680.SH,*ST上普(退市),2016,中国证券监督管理委员会,因调查工作需要,0
600682.SH,南京新百,2022,中国证券监督管理委员会,涉嫌信息披露违法违规,0
600685.SH,中船防务,2003,中国证券监督管理委员会,涉嫌违反法律法规,0
600687.SH,退市刚泰(退市),2019,中国证券监督管理委员会,涉嫌信息披露违法违规,0
600696.SH,岩石股份,2004,中国证券监督管理委员会,涉嫌违反证券法规,0
600696.SH,岩石股份,2017,中国证券监督管理委员会,涉嫌信息披露违法违规,0
600696.SH,岩石股份,2022,中国证券监督管理委员会上海监管局,涉嫌信息披露违法违规,0
600703.SH,三安光电,2006,中国证券监督管理委员会武汉监管局,涉嫌违反证券法及相关法规,0
600709.SH,ST生态(退市),2001,中国证券监督管理委员会,涉嫌违反证券法规,0
600719.SH,ST热电,2022,中国证券监督管理委员会,涉嫌信息披露违法违规,0
600734.SH,ST实达,2006,中国证券监督管理委员会,涉嫌违反证券法律法规,0
600734.SH,*ST实达,2021,中国证券监督管理委员会,涉嫌信息披露违法违规,0
600747.SH,退市大控(退市),2019,中国证券监督管理委员会,涉嫌信息披露违法违规,0
600757.SH,长江传媒,2006,中国证券监督管理委员会,涉嫌违反证券法规,0
600762.SH,S*ST金荔(退市),2005,中国证券监督管理委员会湖南监管局,涉嫌违反证券法律法规,0
600762.SH,S*ST金荔(退市),2006,中国证券监督管理委员会湖南监管局,涉嫌未能按时披露2005年年报,1
600772.SH,S*ST龙昌(退市),2005,中国证券监督管理委员会,涉嫌违反证券法规,0
600772.SH,S*ST龙昌(退市),2006,中国证券监督管理委员会,涉嫌未按期披露2005年年报,1
600777.SH,新潮能源,2010,中国证券监督管理委员会,涉嫌信息披露违规,0
600777.SH,新潮能源,2022,中国证券监督管理委员会,涉嫌信息披露违法违规,0
600781.SH,*ST辅仁,2022,中国证券监督管理委员会,未在规定期限内披露 2021 年年报，涉嫌信息披露违法违规,0
600800.SH,渤海化学,2005,中国证券监督管理委员会,涉嫌违反证券法规,0
600816.SH,ST安信,2005,中国证券监督管理委员会上海稽查局,涉嫌违反证券法规,0
600844.SH,丹化科技,2007,中国证券监督管理委员会上海稽查局,涉嫌违反证券法规,0
600856.SH,退市中天(退市),2021,中国证券监督管理委员会,涉嫌信息披露违法违规,0
600869.SH,远东股份,2007,中国证券监督管理委员会,涉嫌违法违规,0
600887.SH,伊利股份,2004,中国证券监督管理委员会,涉嫌违反证券法规,0
600891.SH,退市秋林(退市),2019,中国证券监督管理委员会,涉嫌信息披露违法违规,0
600899.SH,*ST信联(退市),2005,中国证券监督管理委员会,涉嫌信息披露违法违规,0
600962.SH,国投中鲁,2022,中国证券监督管理委员会,涉嫌信息披露违法违规,0
600978.SH,*ST宜生(退市),2020,中国证券监督管理委员会,涉嫌信息披露违法违规,0
600978.SH,*ST宜生(退市),2022,中国证券监督管理委员会,涉嫌信息披露违法违规,0
600986.SH,浙文互联,2005,中国证券监督管理委员会济南稽查局,涉嫌违反证券法律法规,0
600999.SH,招商证券,2022,中国证券监督管理委员会,2014年在开展上海飞乐股份有限公司（现中安科股份有限公司）独立财务顾问业务工作期间未勤勉尽责，涉嫌违法违规,0
601727.SH,上海电气,2021,中国证券监督管理委员会,涉嫌信息披露违法违规。,0
601899.SH,紫金矿业,2010,中国证券监督管理委员会,涉嫌信息披露违法违规,0
603557.SH,ST起步,2022,中国证券监督管理委员会,涉嫌信息披露违法违规等事项,0
688086.SH,*ST紫晶,2022,中国证券监督管理委员会,涉嫌信息披露违法违规,0
688555.SH,泽达易盛,2022,中国证券监督管理委员会,涉嫌信息披露违法违规,0
